graph_id;vertices;edges;density;variant;algorithm;total_operations_count;total_execution_time_ms;path_length
1;6;10;sparse;pure_dag;Tarjan_SCC;16;1.481583;
1;6;10;sparse;pure_dag;Topo_Kahn;22;0.020708;
1;6;10;sparse;pure_dag;DAG_Shortest;7;0.016000;7.000000
1;6;10;sparse;pure_dag;DAG_Longest;7;0.009833;10.900000
2;8;14;sparse;one_cycle;Tarjan_SCC;22;0.028084;
2;8;14;sparse;one_cycle;Topo_Kahn;2;0.002416;
2;8;14;sparse;one_cycle;DAG_Shortest;0;0.001750;0.000000
2;8;14;sparse;one_cycle;DAG_Longest;0;0.001500;0.000000
3;10;18;sparse;two_cycles;Tarjan_SCC;28;0.026667;
3;10;18;sparse;two_cycles;Topo_Kahn;5;0.005459;
3;10;18;sparse;two_cycles;DAG_Shortest;1;0.003125;2.200000
3;10;18;sparse;two_cycles;DAG_Longest;1;0.002542;2.200000
4;12;21;sparse;mixed;Tarjan_SCC;33;0.032459;
4;12;21;sparse;mixed;Topo_Kahn;12;0.007875;
4;12;21;sparse;mixed;DAG_Shortest;4;0.005750;14.100000
4;12;21;sparse;mixed;DAG_Longest;4;0.005166;16.000000
5;16;28;sparse;mixed;Tarjan_SCC;44;0.037542;
5;16;28;sparse;mixed;Topo_Kahn;17;0.010083;
5;16;28;sparse;mixed;DAG_Shortest;7;0.007209;9.800000
5;16;28;sparse;mixed;DAG_Longest;7;0.006708;25.900000
6;20;36;sparse;mixed;Tarjan_SCC;56;0.043542;
6;20;36;sparse;mixed;Topo_Kahn;13;0.008083;
6;20;36;sparse;mixed;DAG_Shortest;5;0.005666;6.400000
6;20;36;sparse;mixed;DAG_Longest;5;0.005375;10.400000
7;25;45;sparse;many_sccs;Tarjan_SCC;70;0.066375;
7;25;45;sparse;many_sccs;Topo_Kahn;29;0.027958;
7;25;45;sparse;many_sccs;DAG_Shortest;6;0.008291;43.100000
7;25;45;sparse;many_sccs;DAG_Longest;6;0.007708;43.100000
8;35;63;sparse;pure_dag;Tarjan_SCC;98;0.060209;
8;35;63;sparse;pure_dag;Topo_Kahn;133;0.039000;
